DrugName,binding_energy,TPSA,molecular_weight,XLogPs-AA,HBD,HBA,n_ROTB,n_benzene_ring,n_single_bond,n_double_bond,n_h,n_c,n_n,n_o,n_f
CC(C)(C)NC(=O)C(c1cccnc1)N(c2ccc(cc2)CCC#N)C(=O)C=C,7.00436480540245,86.09,390.48700000000025,3.712780000000003,1,4,7,2,14,3,26,23,4,2,0
CC(C)(C)NC(=O)C(c1cncc2c1cccc2)N(Cc3ccccc3Cl)C(=O)C=C,7.00436480540245,62.300000000000004,435.9550000000002,5.058800000000005,1,3,6,3,13,3,26,25,3,2,0
CC(C)(C)NS(=O)(=O)c1ccccc1CNC(=O)C=C,7.00436480540245,75.27000000000001,296.39200000000005,1.5655999999999999,2,3,5,1,10,4,20,14,2,3,0
CC(C)(C)c1cc(no1)N(C(c2cc(cnc2)C#N)C(=O)NCCc3cccc(c3)F)C(=O)C=C,7.976689595061736,112.12,475.5240000000003,3.997080000000002,1,6,8,3,16,3,26,26,5,3,1
CC(C)(C)c1cc(no1)N(C(c2cc(cnc2)Cl)C(=O)NCCc3cccc(c3)F)C(=O)C=C,8.320833522301976,88.33000000000001,484.9590000000003,4.778800000000004,1,5,8,3,16,3,26,25,4,3,1
CC(C)(C)c1cc(no1)N(C(c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)C=C,7.964102693606546,88.33000000000001,450.51400000000024,4.125400000000003,1,5,8,3,15,3,27,25,4,3,1
CC(C)(C)c1ccc(cc1)N(C(c2cc(cnc2)C#N)C(=O)NCCc3cccc(c3)F)C(=O)C=C,8.607740162732759,86.09,484.5750000000003,5.009080000000004,1,4,8,3,16,3,29,29,4,2,1
CC(C)(C)c1ccc(cc1)N(C(c2cc(cnc2)Cl)C(=O)NCCc3cccc(c3)F)C(=O)C=C,8.675141431140222,62.300000000000004,494.0100000000003,5.790800000000004,1,3,8,3,16,3,29,28,3,2,1
CC(C)(C)c1ccc(cc1)N(C(c2cc(cnc2)O)C(=O)NCCc3cccc(c3)F)C(=O)C=C,7.581512084806438,82.53,475.56400000000025,4.843000000000004,2,4,8,3,16,3,30,28,3,3,1
CC(C)(C)c1ccc(cc1)N(C(c2ccccc2)C(=O)NCCc3cccc(c3)F)C(=O)c4ccco4,7.00436480540245,62.550000000000004,498.59800000000024,6.463200000000007,1,3,8,4,15,2,31,31,2,3,1
